a	a0
ai	ai̯0
an	a0|n
ang	a0|ŋ
ao	au̯0
ba	p|a0
bai	p|ai̯0
ban	p|a0|n
bang	p|a0|ŋ
bao	p|au̯0
bei	p|ei̯0
ben	p|ə0|n
beng	p|ə0|ŋ
bi	p|i0
bia	p|j|a0
bian	p|j|ɛ0|n
biao	p|j|au̯0
bie	p|j|e0
bin	p|i0|n
bing	p|i0|ŋ
biu	p|j|ou̯0
bo	p|w|o0
bu	p|u0
ca	tsʰ|a0
cai	tsʰ|ai̯0
can	tsʰ|a0|n
cang	tsʰ|a0|ŋ
cao	tsʰ|au̯0
ce	tsʰ|ɤ0
cen	tsʰ|ə0|n
ceng	tsʰ|ə0|ŋ
cha	ʈʂʰ|a0
chai	ʈʂʰ|ai̯0
chan	ʈʂʰ|a0|n
chang	ʈʂʰ|a0|ŋ
chao	ʈʂʰ|au̯0
che	ʈʂʰ|ɤ0
chen	ʈʂʰ|ə0|n
cheng	ʈʂʰ|ə0|ŋ
chi	ʈʂʰ|ɻ̩0 ; ʈʂʰ|ʐ̩0
chong	ʈʂʰ|ʊ0|ŋ
chou	ʈʂʰ|ou̯0
chu	ʈʂʰ|u0
chua	ʈʂʰ|w|a0
chuai	ʈʂʰ|w|ai̯0
chuan	ʈʂʰ|w|a0|n
chuang	ʈʂʰ|w|a0|ŋ
chui	ʈʂʰ|w|ei̯0
chun	ʈʂʰ|w|ə0|n
chuo	ʈʂʰ|w|o0
ci	tsʰ|ɹ̩0 ; tsʰ|z̩0
cong	tsʰ|ʊ0|ŋ
cou	tsʰ|ou̯0
cu	tsʰ|u0
cuan	tsʰ|w|a0|n
cui	tsʰ|w|ei̯0
cun	tsʰ|w|ə0|n
cuo	tsʰ|w|o0
da	t|a0
dai	t|ai̯0
dan	t|a0|n
dang	t|a0|ŋ
dao	t|au̯0
de	t|ɤ0
dei	t|ei̯0
den	t|ə0|n
deng	t|ə0|ŋ
di	t|i0
dia	t|j|a0
dian	t|j|ɛ0|n
diao	t|j|au̯0
die	t|j|e0
ding	t|i0|ŋ
diu	t|j|ou̯0
dong	t|ʊ0|ŋ
dou	t|ou̯0
du	t|u0
duan	t|w|a0|n
dui	t|w|ei̯0
dun	t|w|ə0|n
duo	t|w|o0
e	ɤ0
ei	ei̯0
en	ə0|n
eng	ə0|ŋ
er	ɚ0 ; aɚ̯0
fa	f|a0
fan	f|a0|n
fang	f|a0|ŋ
fei	f|ei̯0
fen	f|ə0|n
feng	f|ə0|ŋ
fiao	f|j|au̯0
fo	f|w|o0
fou	f|ou̯0
fu	f|u0
ga	k|a0
gai	k|ai̯0
gan	k|a0|n
gang	k|a0|ŋ
gao	k|au̯0
ge	k|ɤ0
gei	k|ei̯0
gen	k|ə0|n
geng	k|ə0|ŋ
ging	k|i0|ŋ
gong	k|ʊ0|ŋ
gou	k|ou̯0
gu	k|u0
gua	k|w|a0
guai	k|w|ai̯0
guan	k|w|a0|n
guang	k|w|a0|ŋ
gui	k|w|ei̯0
gun	k|w|ə0|n
guo	k|w|o0
ha	x|a0 ; h|a0
hai	x|ai̯0 ; h|ai̯0
han	x|a0|n ; h|a0|n
hang	x|a0|ŋ ; h|a0|ŋ
hao	x|au̯0 ; h|au̯0
he	x|ɤ0 ; h|ɤ0
hei	x|ei̯0 ; h|ei̯0
hen	x|ə0|n ; h|ə0|n
heng	x|ə0|ŋ ; h|ə0|ŋ
hong	x|ʊ0|ŋ ; h|ʊ0|ŋ
hou	x|ou̯0 ; h|ou̯0
hu	x|u0 ; h|u0
hua	x|w|a0 ; h|w|a0
huai	x|w|ai̯0 ; h|w|ai̯0
huan	x|w|a0|n ; h|w|a0|n
huang	x|w|a0|ŋ ; h|w|a0|ŋ
hui	x|w|ei̯0 ; h|w|ei̯0
hun	x|w|ə0|n ; h|w|ə0|n
huo	x|w|o0 ; h|w|o0
ji	tɕ|i0
jia	tɕ|j|a0
jian	tɕ|j|ɛ0|n
jiang	tɕ|j|a0|ŋ
jiao	tɕ|j|au̯0
jie	tɕ|j|e0
jin	tɕ|i0|n
jing	tɕ|i0|ŋ
jiong	tɕ|j|ʊ0|ŋ
jiu	tɕ|j|ou̯0
ju	tɕ|y0
juan	tɕ|ɥ|ɛ0|n
jue	tɕ|ɥ|e0
jun	tɕ|y0|n
ka	kʰ|a0
kai	kʰ|ai̯0
kan	kʰ|a0|n
kang	kʰ|a0|ŋ
kao	kʰ|au̯0
ke	kʰ|ɤ0
kei	kʰ|ei̯0
ken	kʰ|ə0|n
keng	kʰ|ə0|ŋ
kong	kʰ|ʊ0|ŋ
kou	kʰ|ou̯0
ku	kʰ|u0
kua	kʰ|w|a0
kuai	kʰ|w|ai̯0
kuan	kʰ|w|a0|n
kuang	kʰ|w|a0|ŋ
kui	kʰ|w|ei̯0
kun	kʰ|w|ə0|n
kuo	kʰ|w|o0
la	l|a0
lai	l|ai̯0
lan	l|a0|n
lang	l|a0|ŋ
lao	l|au̯0
le	l|ɤ0
lei	l|ei̯0
leng	l|ə0|ŋ
li	l|i0
lia	l|j|a0
lian	l|j|ɛ0|n
liang	l|j|a0|ŋ
liao	l|j|au̯0
lie	l|j|e0
lin	l|i0|n
ling	l|i0|ŋ
liu	l|j|ou̯0
lo	l|w|o0
long	l|ʊ0|ŋ
lou	l|ou̯0
lu	l|u0
luan	l|w|a0|n
lun	l|w|ə0|n
luo	l|w|o0
lv	l|y0
lve	l|ɥ|e0
m	m0
ma	m|a0
mai	m|ai̯0
man	m|a0|n
mang	m|a0|ŋ
mao	m|au̯0
me	m|ɤ0
mei	m|ei̯0
men	m|ə0|n
meng	m|ə0|ŋ
mi	m|i0
mian	m|j|ɛ0|n
miao	m|j|au̯0
mie	m|j|e0
min	m|i0|n
ming	m|i0|ŋ
miu	m|j|ou̯0
mo	m|w|o0
mou	m|ou̯0
mu	m|u0
na	n|a0
nai	n|ai̯0
nan	n|a0|n
nang	n|a0|ŋ
nao	n|au̯0
ne	n|ɤ0
nei	n|ei̯0
nen	n|ə0|n
neng	n|ə0|ŋ
ni	n|i0
nian	n|j|ɛ0|n
niang	n|j|a0|ŋ
niao	n|j|au̯0
nie	n|j|e0
nin	n|i0|n
ning	n|i0|ŋ
niu	n|j|ou̯0
nong	n|ʊ0|ŋ
nou	n|ou̯0
nu	n|u0
nuan	n|w|a0|n
nun	n|w|ə0|n
nuo	n|w|o0
nv	n|y0
nve	n|ɥ|e0
o	ɔ0
ou	ou̯0
pa	pʰ|a0
pai	pʰ|ai̯0
pan	pʰ|a0|n
pang	pʰ|a0|ŋ
pao	pʰ|au̯0
pei	pʰ|ei̯0
pen	pʰ|ə0|n
peng	pʰ|ə0|ŋ
pi	pʰ|i0
pian	pʰ|j|ɛ0|n
piao	pʰ|j|au̯0
pie	pʰ|j|e0
pin	pʰ|i0|n
ping	pʰ|i0|ŋ
po	pʰ|w|o0
pou	pʰ|ou̯0
pu	pʰ|u0
qi	tɕʰ|i0
qia	tɕʰ|j|a0
qian	tɕʰ|j|ɛ0|n
qiang	tɕʰ|j|a0|ŋ
qiao	tɕʰ|j|au̯0
qie	tɕʰ|j|e0
qin	tɕʰ|i0|n
qing	tɕʰ|i0|ŋ
qiong	tɕʰ|j|ʊ0|ŋ
qiu	tɕʰ|j|ou̯0
qu	tɕʰ|y0
quan	tɕʰ|ɥ|ɛ0|n
que	tɕʰ|ɥ|e0
qun	tɕʰ|y0|n
ran	ɻ|a0|n ; ʐ|a0|n
rang	ɻ|a0|ŋ ; ʐ|a0|ŋ
rao	ɻ|au̯0 ; ʐ|au̯0
re	ɻ|ɤ0 ; ʐ|ɤ0
ren	ɻ|ə0|n ; ʐ|ə0|n
reng	ɻ|ə0|ŋ ; ʐ|ə0|ŋ
ri	ɻ|ɻ̩0 ; ɻ|ʐ̩0 ; ʐ|ɻ̩0 ; ʐ|ʐ̩0
rong	ɻ|ʊ0|ŋ ; ʐ|ʊ0|ŋ
rou	ɻ|ou̯0 ; ʐ|ou̯0
ru	ɻ|u0 ; ʐ|u0
ruan	ɻ|w|a0|n ; ʐ|w|a0|n
rui	ɻ|w|ei̯0 ; ʐ|w|ei̯0
run	ɻ|w|ə0|n ; ʐ|w|ə0|n
ruo	ɻ|w|o0 ; ʐ|w|o0
sa	s|a0
sai	s|ai̯0
san	s|a0|n
sang	s|a0|ŋ
sao	s|au̯0
se	s|ɤ0
sen	s|ə0|n
seng	s|ə0|ŋ
sha	ʂ|a0
shai	ʂ|ai̯0
shan	ʂ|a0|n
shang	ʂ|a0|ŋ
shao	ʂ|au̯0
she	ʂ|ɤ0
shei	ʂ|ei̯0
shen	ʂ|ə0|n
sheng	ʂ|ə0|ŋ
shi	ʂ|ɻ̩0 ; ʂ|ʐ̩0
shou	ʂ|ou̯0
shu	ʂ|u0
shua	ʂ|w|a0
shuai	ʂ|w|ai̯0
shuan	ʂ|w|a0|n
shuang	ʂ|w|a0|ŋ
shui	ʂ|w|ei̯0
shun	ʂ|w|ə0|n
shuo	ʂ|w|o0
si	s|ɹ̩0 ; s|z̩0
song	s|ʊ0|ŋ
sou	s|ou̯0
su	s|u0
suan	s|w|a0|n
sui	s|w|ei̯0
sun	s|w|ə0|n
suo	s|w|o0
ta	tʰ|a0
tai	tʰ|ai̯0
tan	tʰ|a0|n
tang	tʰ|a0|ŋ
tao	tʰ|au̯0
te	tʰ|ɤ0
tei	tʰ|ei̯0
teng	tʰ|ə0|ŋ
ti	tʰ|i0
tian	tʰ|j|ɛ0|n
tiao	tʰ|j|au̯0
tie	tʰ|j|e0
ting	tʰ|i0|ŋ
tong	tʰ|ʊ0|ŋ
tou	tʰ|ou̯0
tu	tʰ|u0
tuan	tʰ|w|a0|n
tui	tʰ|w|ei̯0
tun	tʰ|w|ə0|n
tuo	tʰ|w|o0
wa	w|a0
wai	w|ai̯0
wan	w|a0|n
wang	w|a0|ŋ
wei	w|ei̯0
wen	w|ə0|n
weng	w|ə0|ŋ
wo	w|o0
wu	u0
xi	ɕ|i0
xia	ɕ|j|a0
xian	ɕ|j|ɛ0|n
xiang	ɕ|j|a0|ŋ
xiao	ɕ|j|au̯0
xie	ɕ|j|e0
xin	ɕ|i0|n
xing	ɕ|i0|ŋ
xiong	ɕ|j|ʊ0|ŋ
xiu	ɕ|j|ou̯0
xu	ɕ|y0
xuan	ɕ|ɥ|ɛ0|n
xue	ɕ|ɥ|e0
xun	ɕ|y0|n
ya	j|a0
yan	j|ɛ0|n
yang	j|a0|ŋ
yao	j|au̯0
ye	j|e0
yi	i0
yin	i0|n
ying	i0|ŋ
yo	w|o0
yong	j|ʊ0|ŋ
you	j|ou̯0
yu	y0
yuan	ɥ|ɛ0|n
yue	ɥ|e0
yun	y0|n
za	ts|a0
zai	ts|ai̯0
zan	ts|a0|n
zang	ts|a0|ŋ
zao	ts|au̯0
ze	ts|ɤ0
zei	ts|ei̯0
zen	ts|ə0|n
zeng	ts|ə0|ŋ
zha	ʈʂ|a0
zhai	ʈʂ|ai̯0
zhan	ʈʂ|a0|n
zhang	ʈʂ|a0|ŋ
zhao	ʈʂ|au̯0
zhe	ʈʂ|ɤ0
zhen	ʈʂ|ə0|n
zheng	ʈʂ|ə0|ŋ
zhi	ʈʂ|ɻ̩0 ; ʈʂ|ʐ̩0
zhong	ʈʂ|ʊ0|ŋ
zhou	ʈʂ|ou̯0
zhu	ʈʂ|u0
zhua	ʈʂ|w|a0
zhuai	ʈʂ|w|ai̯0
zhuan	ʈʂ|w|a0|n
zhuang	ʈʂ|w|a0|ŋ
zhui	ʈʂ|w|ei̯0
zhun	ʈʂ|w|ə0|n
zhuo	ʈʂ|w|o0
zi	ts|ɹ̩0 ; ts|z̩0
zong	ts|ʊ0|ŋ
zou	ts|ou̯0
zu	ts|u0
zuan	ts|w|a0|n
zui	ts|w|ei̯0
zun	ts|w|ə0|n
zuo	ts|w|o0
